principle,description,do,dont,cognitive_load_impact,audience_retention_effect
one_idea_per_slide,"Cada slide deve comunicar exatamente uma ideia, conceito ou dado. Se precisa de dois pontos, use dois slides.","Focar em um conceito central; usar título que resume o insight; suporte visual para o ponto único; manter coerência entre título-conteúdo-visual","Colocar 3+ ideias no mesmo slide; usar bullets como muleta para conteúdo excessivo; slide que precisa de 3+ minutos para explicar; misturar mensagens","Redução de 40% na carga cognitiva — cérebro processa uma informação de cada vez; evita split-attention effect","Aumento de 28% na retenção — ideias isoladas são armazenadas como chunks discretos na memória de longo prazo"
signal_to_noise,"Cada elemento visual deve ter propósito. Se remover algo e a mensagem não muda, aquele elemento é ruído.","Remover decorações sem função; usar espaço em branco generosamente; cada elemento justifica sua presença; simplificar gráficos ao essencial","Bordas decorativas; clip-art; watermarks distrativas; backgrounds complexos; logos repetidos em todo slide; animações gratuitas; footer com informações desnecessárias","Redução de 35% — menos elementos competindo por atenção; processamento mais rápido; foco no que importa","Aumento de 23% — menos informação irrelevante competindo por encoding na memória; core message se destaca"
visual_hierarchy,"A ordem de leitura deve ser óbvia e intencional. Tamanho, cor, posição e contraste guiam o olhar.","Título maior e mais bold; insight/callout com cor de destaque; hierarquia de 3 níveis máximo (título > corpo > detalhe); Z-pattern ou F-pattern","Tudo no mesmo tamanho; cores aleatórias sem hierarquia; informação importante escondida; múltiplos centros de atenção competindo","Redução de 30% — hierarquia clara cria caminho de processamento sequencial; elimina decision fatigue sobre o que ler primeiro","Aumento de 25% — informação processada na ordem correta forma narrativa coerente; principais pontos recebem atenção proporcional"
consistency,"Fontes, cores, espaçamento e estilo devem ser idênticos em todos os slides. Inconsistência distrai e reduz credibilidade.","Usar template com master slides; mesma fonte/tamanho para mesmo nível de conteúdo; paleta fixa; espaçamento padronizado; posição do título fixa","Mudar fontes entre slides; cores aleatórias; espaçamentos diferentes; posição de título que pula; misturar estilos de ícones; cada slide parece diferente","Redução de 20% — consistência cria padrão mental que permite processamento automático; audiência sabe onde olhar","Aumento de 18% — previsibilidade visual permite que atenção vá para conteúdo em vez de decodificar layout novo a cada slide"
contrast_and_legibility,"Texto deve ser legível da última fileira da sala. Contraste mínimo 4.5:1. Tamanho mínimo 24pt para corpo.","Fundo escuro + texto claro OU fundo claro + texto escuro; mínimo 24pt body / 36pt título; testar projetando na parede; sans-serif para corpo","Texto cinza claro em fundo branco; fontes abaixo de 20pt; texto sobre imagem sem overlay; fontes decorativas para corpo; gradiente que prejudica leitura","Redução de 25% — texto legível é processado automaticamente; ilegibilidade força esforço consciente que compete com compreensão","Aumento de 30% — se a audiência não consegue ler, não retém nada; legibilidade é pré-requisito para qualquer retenção"
progressive_disclosure,"Revelar informação gradualmente ao invés de mostrar tudo de uma vez. Build slides e animações controladas.","Bullets aparecendo um por um; gráfico que se constrói; revelar comparação em etapas; manter audiência no seu ritmo; criar curiosidade","Mostrar 10 bullets de uma vez (audiência lê tudo e para de ouvir); revelar conclusão antes do argumento; animação em tudo sem critério; velocidade inconsistente","Redução de 45% — informação em doses é processada sequencialmente sem overwhelm; cada chunk é absorvido antes do próximo","Aumento de 35% — progressive disclosure cria expectativa e engajamento ativo; audiência processa junto com o apresentador"
data_visualization,"Dados devem ser visualizados, não listados. Gráfico certo para o dado certo. Destaque o insight, não o dataset.","Escolher chart type adequado ao dado; destacar insight com cor ou callout; simplificar ao máximo; fonte dos dados visível; título descritivo do insight","Tabela com 50 linhas; gráfico 3D que distorce; pie chart com 12 fatias; dois eixos Y confusos; dados sem contexto; gráfico sem título nem unidades","Redução de 50% — visualização é processada 60.000x mais rápido que texto; gráfico certo elimina necessidade de interpretar números","Aumento de 40% — dados visualizados corretamente são lembrados como padrões visuais, não como números; insight persiste mais que tabela"
whitespace,"Espaço em branco não é desperdício — é respiração visual. Margens generosas e espaçamento adequado elevam profissionalismo.","Margens mínimas de 10% em cada lado; espaçamento entre elementos de 20-40px; permitir que conteúdo respire; menos conteúdo por slide","Preencher cada pixel; margens de 0; texto colado nas bordas; elementos sobrepostos; sensação de claustrofobia visual; slides que parecem documento Word","Redução de 30% — espaço branco reduz visual noise; permite foco; cria agrupamento natural (Gestalt proximity principle)","Aumento de 20% — slides com whitespace são percebidos como mais profissionais e confiáveis; aumento de credibilidade do apresentador"
storytelling_arc,"A apresentação deve seguir arco narrativo: setup → tensão → resolução. Cada slide avança a história.","Começar com gancho/problema; construir tensão com dados e insights; resolver com solução/proposta; fechar com CTA claro; criar transições narrativas","Slides desconectados sem fio condutor; começar com agenda sem contexto; pular direto para solução sem mostrar problema; final abrupto sem CTA","Redução de 20% — narrativa cria framework mental que organiza informações automaticamente; cada slide tem lugar na história","Aumento de 65% — histórias são lembradas 22x melhor que fatos isolados (Stanford research); arco narrativo é o formato natural da memória humana"
accessibility_inclusion,"Design acessível beneficia todos. Contraste, tamanho, daltonismo, descrição de imagens e linguagem clara.","Contraste WCAG AA (4.5:1); não usar cor como único indicador; alt text em imagens; linguagem simples; testar com simulador de daltonismo; closed captions","Vermelho/verde como único diferenciador; fonte abaixo de 18pt; jargão sem explicação; gráficos sem descrição; contraste insuficiente; animações rápidas sem controle","Redução para todos — design acessível é design claro; beneficia 100% da audiência, não apenas 15% com deficiência","Aumento de 15% — inclusão amplia a audiência efetiva; material acessível é inerentemente mais claro e melhor estruturado"
