pattern_name,category,problem_solved,solution,when_to_use,when_not_to_use,accessibility_impact,mobile_adaptation,example_implementation,references
Breadcrumb Navigation,navigation,Users lose context of their location in deep hierarchies,Show clickable path trail from root to current page,Sites with 3+ hierarchy levels,Flat single-level sites or mobile-only apps,nav landmark with aria-label Breadcrumb and aria-current on last item,Collapse to parent-only link or hide if space constrained,nav > ol > li with separator spans,Nielsen Norman Group Baymard Institute
Mega Menu,navigation,Standard dropdowns cannot display large categorized navigation,Full-width panel with grouped links columns and optional media,E-commerce and enterprise sites with 20+ nav items,Simple sites with fewer than 10 nav items,role=menu with keyboard arrow navigation and Escape to close,Convert to full-screen category page or accordion,div with role=menu triggered by aria-expanded button,Smashing Magazine NNGroup
Tab Navigation,navigation,Multiple related content views compete for same space,Horizontal tabs that switch visible content panel,2-7 related views at same hierarchy level,More than 7 views or unrelated content,role=tablist with aria-selected and arrow key switching,Scrollable tabs or convert to accordion on small screens,div role=tablist with button role=tab and div role=tabpanel,WAI-ARIA Practices Guide
Sticky Header,navigation,Primary navigation disappears on scroll losing quick access,Header stays fixed at top of viewport during scroll,Long-scrolling pages where nav access is frequent,Short pages or pages with dedicated nav sidebar,Ensure sticky element does not cover focused elements,Reduce header height on scroll or show mini bar,header with position sticky top 0 z-index,Web.dev NNGroup
Back to Top,navigation,Users must scroll extensively to return to page top on long pages,Floating button that scrolls to top on click,Pages longer than 4 viewport heights,Short pages or pages with sticky nav,aria-label Go to top and visible focus state,Always show after 2 screens of scroll,Fixed button with smooth scroll to top behavior,Baymard Institute
Progressive Disclosure,content,Overwhelming users with too much information at once,Show essential info first with option to reveal details on demand,Complex forms settings panels and information-dense pages,Simple content that fits comfortably without hiding,Disclosed content must be keyboard accessible and announced,Accordions or expand links for secondary content,Details/summary elements or custom accordions,Don Norman Interaction Design Foundation
Infinite Scroll,content,Pagination breaks content browsing flow in feed-style layouts,Load more content automatically as user scrolls near bottom,Social feeds image galleries and discovery browsing,Content that needs direct page access or bookmarking,Announce new content loaded and manage focus for keyboard users,Default pattern for mobile feeds,Intersection Observer triggers fetch and append,NNGroup Smashing Magazine
Skeleton Loading,feedback,Blank page during load creates perception of slowness,Show layout-matching placeholder shapes with pulse animation,Any async content load that takes 300ms+,Instant loads under 200ms or when progress is measurable,aria-busy=true on container and aria-label describing loading state,Same skeleton layout adapted to mobile grid,Div with animated background-gradient matching content layout,Luke Wroblewski Google Material Guidelines
Empty State,feedback,Users see blank page with no context when data is absent,Illustrative message explaining why empty and CTA to take action,Lists dashboards feeds and search results with no data,States that should never be empty in normal flow,Descriptive text not just illustration and actionable CTA with clear label,Simplified illustration or icon with concise message,Container with illustration heading description and CTA button,Material Design Guidelines InVision
Toast Notification,feedback,User needs non-blocking confirmation of completed actions,Brief auto-dismissing message at screen edge,Success confirmations non-critical warnings and info updates,Critical errors requiring user acknowledgment,role=status with aria-live=polite and optional action button,Bottom of screen full width with swipe to dismiss,Fixed position container with role=status and auto-dismiss timer,Material Design WAI-ARIA
