element,description,specifications,file_formats,usage_rules,common_mistakes,priority
logo_primary,Versão principal do logo usada na maioria das aplicações,Tamanho mínimo 24px altura digital / 10mm impresso; área de proteção = altura do símbolo ao redor; proporções fixas (nunca distorcer),"SVG (master), AI, EPS, PNG (transparente 1x/2x/3x), PDF",Usar sempre a versão primária quando espaço e fundo permitirem; nunca alterar cores ou proporções; respeitar área de proteção,Redimensionar sem manter proporção; usar JPEG com fundo branco ao invés de PNG transparente; ignorar área de proteção; usar versão de baixa resolução,P0 — Obrigatório
logo_variations,"Versões alternativas: horizontal, vertical, icon-only, monocromática, invertida, responsive",Cada variação com specs de tamanho mínimo próprias; regras claras de quando usar qual; sistema de responsive breakpoints,"SVG, AI, EPS, PNG por variação; naming convention: brand-variation-color-size",Horizontal para headers; vertical para espaços quadrados; icon para favicon/app; mono para fundos complexos; invertida para fundos escuros,Criar variações demais sem necessidade; não documentar quando usar cada uma; variações inconsistentes entre si; missing monocromática,P0 — Obrigatório
color_palette,"Sistema completo de cores: primárias, secundárias, neutras, semânticas (sucesso/erro/warning)",Primárias (2-3 cores); Secundárias (2-4 cores); Neutras (5-7 tons de cinza); Semânticas (verde/vermelho/amarelo/azul); cada cor com Pantone + CMYK + RGB + HEX + HSL,"Documentação em PDF/web; ASE (Adobe Swatch); Figma styles; CSS variables; design tokens JSON",Proporção de uso definida (60-30-10); primárias dominam; secundárias para accent; neutras para texto e fundos; nunca inventar cores fora da paleta,Cores demais sem hierarquia; não definir Pantone para impressão; paleta que não passa WCAG AA; não incluir neutras; esquecer cores semânticas,P0 — Obrigatório
typography_system,"Famílias tipográficas para headings, body, UI, código; hierarquia de tamanhos e pesos",Type scale (ex: 12/14/16/18/20/24/30/36/48/60/72); line-height (1.2 heading / 1.5 body); weights permitidos; máximo 2 famílias,"Fontes em OTF/TTF/WOFF2; specimen PDF; Figma text styles; CSS @font-face; design tokens",Heading font + Body font; pesos específicos por uso; tamanho mínimo 14px body / 12px captions; letter-spacing definido por nível,Misturar mais de 2-3 famílias; não definir hierarquia; ignorar web performance (fontes pesadas); não licenciar corretamente; usar pesos não disponíveis,P0 — Obrigatório
iconography,"Sistema de ícones coerente com a identidade: estilo, grid, espessura de traço, corner radius",Grid 24x24 base; stroke width consistente (1.5px ou 2px); corner radius uniforme; padding interno; optical alignment; estilo (outline/filled/duotone),"SVG (otimizado), PNG sprite, icon font (WOFF2), React components",Usar sempre ícones do sistema próprio; nunca misturar estilos; manter espessura e radius consistentes; ícone + label sempre que possível para acessibilidade,Misturar ícones de bibliotecas diferentes; inconsistência de stroke width; não alinhar opticamente; ícones sem label para leitores de tela; SVGs não otimizados,P1 — Importante
photography_style,"Diretrizes para fotografia: estilo, tratamento, composição, sujeitos, cenários permitidos",Estilo de iluminação; color grading (LUT/preset); composição (rule of thirds; leading lines); DOF guidelines; modelos (diversidade obrigatória),"LUT files; Lightroom presets; exemplo de moodboard em PDF; guia de briefing para fotógrafos",Todas as fotos devem passar pelo color grading definido; composição consistente; diversidade de representação; evitar stock genérico; priorizar fotografia original,Usar stock photos genéricas; tratamento de cor inconsistente; falta de diversidade; composição variada demais; fotos datadas; não renovar banco de imagens,P1 — Importante
illustration_style,Diretrizes para ilustrações: estilo artístico e nível de detalhe e paleta cromática e proporções,Estilo (flat/isométrico/line art/3D); paleta derivada da cor da marca; proporções de personagens; nível de detalhe por tamanho; textura e sombra,"SVG/AI (editável), PNG (exportado), Lottie (animado), PDF (guia de estilo)",Manter estilo consistente em todas as ilustrações; usar apenas cores da paleta da marca; seguir proporções definidas; versionamento por tamanho,Misturar estilos de ilustração; usar cores fora da paleta; proporções inconsistentes; não prever versões para tamanhos diferentes; sem guia para terceiros,P1 — Importante
patterns_textures,"Padrões visuais e texturas que complementam a identidade como elementos de fundo ou destaque",Padrões derivados do logo ou elementos gráficos da marca; escala e repetição definidas; opacidade de uso; combinações permitidas,"SVG (tileable), PNG (seamless), CSS patterns, Figma components",Usar como elementos secundários (backgrounds; cards; seções); nunca competir com conteúdo; opacidade geralmente 5-15%; combinações documentadas com cores,Padrões muito complexos que distraem; escala inconsistente; não funcionar como tile; usar em excesso; padrões genéricos não derivados da marca,P2 — Complementar
stationery,"Papelaria corporativa: cartão de visita, papel timbrado, envelope, pasta, assinatura de email",Cartão (85x55mm ou 89x51mm); Timbrado A4 com margens e posição do logo; Envelope DL/C4; Assinatura HTML com fallbacks,"AI/InDesign (editável), PDF (print-ready com bleeds), HTML (assinatura de email)",Logo e dados de contato obrigatórios; grid consistente; qualidade de impressão mínima 300dpi; acabamentos definidos (papel/tinta/verniz),Informações desatualizadas; não prever área de escrita; cores que não reproduzem bem em CMYK; acabamento que encarece sem necessidade; assinatura de email como imagem,P1 — Importante
signage_wayfinding,"Sistema de sinalização: fachada, interna, direcional, informativa, emergência",Materiais permitidos por tipo; dimensões por aplicação; iluminação (backlit/frontlit/não-iluminado); distância de leitura vs tamanho; contraste WCAG para sinalização,"DWG/DXF (técnico), PDF (visual), AI (artes finais), especificações técnicas em documento separado",Hierarquia visual clara; legibilidade à distância (1cm de letra por 1m de distância); contraste mínimo 4.5:1; materiais adequados ao ambiente; manutenção prevista,Letras pequenas demais para a distância; materiais inadequados para exterior; iluminação insuficiente; sinalização conflitante com decoração; não prever manutenção,P2 — Complementar
