component,category,variants,states,accessibility_requirements,common_props,atomic_level,complexity,frameworks,best_practices
Button,Action,primary secondary outline ghost destructive link icon-only,default hover active focus disabled loading,aria-label for icon-only; role=button for non-button elements; visible focus ring,size variant disabled loading leftIcon rightIcon onClick,atom,low,All frameworks,Min 44px touch target; never disable without explanation; loading state replaces text
TextInput,Form,text password email number search tel url,default focus filled error disabled readonly,aria-label or associated label; aria-describedby for hints; aria-invalid on error,value onChange placeholder label error helperText required disabled,atom,low,All frameworks,Always pair with visible label; show error below not tooltip; use inputmode for mobile keyboards
Select,Form,single multi searchable creatable grouped,default open focused error disabled,aria-expanded; aria-activedescendant; keyboard arrow navigation; role=listbox,options value onChange placeholder label multi searchable,molecule,medium,All frameworks,Searchable for 7+ options; group related items; show selected count for multi
Checkbox,Form,single indeterminate group switch,unchecked checked indeterminate disabled focus,role=checkbox; aria-checked including mixed state; keyboard space toggle,checked onChange label disabled indeterminate,atom,low,All frameworks,Use fieldset+legend for groups; indeterminate only for parent-child; label always clickable
RadioGroup,Form,horizontal vertical card-select,unchecked checked disabled focus,role=radiogroup; aria-checked; keyboard arrows cycle options; fieldset+legend,options value onChange name label,molecule,low,All frameworks,3-7 options max; use select for more; card variant for rich options
Textarea,Form,plain auto-resize with-counter rich,default focus filled error disabled,same as TextInput; aria-multiline=true; character count announced,value onChange placeholder label rows maxLength autoResize,atom,low,All frameworks,Show character count for limited fields; auto-resize preferred over scrollbar
Toggle,Form,default with-label with-icon,on off disabled focus,role=switch; aria-checked; label describes current state not action,checked onChange label disabled size,atom,low,All frameworks,Label should describe state; instant effect no save button needed; use checkbox for forms
DatePicker,Form,single range month year datetime,default open selected error disabled,keyboard navigation in calendar grid; aria-label for days; announce month changes,value onChange minDate maxDate format locale,organism,high,React Tailwind Vue,Fallback to native input on mobile; ISO format internally; locale-aware display
Card,Content,basic interactive hoverable media profile pricing,default hover active focus,role=article or region; if clickable entire card is one tab stop; heading hierarchy,title description media actions footer variant elevation,molecule,medium,All frameworks,Single primary action; image alt text required; consistent aspect ratios across grid
Modal,Overlay,dialog alert drawer bottom-sheet fullscreen,open closed entering exiting,role=dialog; aria-modal=true; focus trap; return focus on close; Escape to close,isOpen onClose title children size closeOnOverlay,organism,high,All frameworks,Trap focus inside; announce title on open; no nested modals; always provide close method
Toast,Feedback,info success warning error loading,entering visible exiting,role=status or alert; aria-live polite or assertive; auto-dismiss configurable,message type duration action onClose position,molecule,medium,All frameworks,Max 3 visible; action optional; auto-dismiss 5s default; error stays until dismissed
