section,content_requirements,deliverable_format,review_checklist,stakeholder,typical_pages
introduction,"Visão geral da marca; missão, visão e valores; propósito do manual; como usar este documento; glossário de termos","PDF (master); web interativo (Zeroheight/Frontify); Figma (design reference)","Missão e visão estão claros?; Valores são acionáveis?; Tom adequado ao público?; Propósito do manual explícito?","CEO, CMO, Brand Manager",4-6
logo_usage,"Todas as variações do logo; área de proteção; tamanhos mínimos; uso correto vs incorreto; co-branding; posicionamento em layouts","PDF com exemplos visuais; Figma component library; arquivos vetoriais em ZIP","Todas as variações documentadas?; Exemplos de uso incorreto incluídos?; Tamanhos mínimos testados?; Área de proteção clara?; Co-branding rules definidas?","Design team, Marketing, Parceiros",8-12
color_system,"Paleta completa com códigos (Pantone/CMYK/RGB/HEX/HSL); proporções de uso; acessibilidade; combinações permitidas; cores sobre fundos","PDF; design tokens JSON/YAML; ASE swatches; Figma color styles","Todos os códigos de cor corretos?; Contraste WCAG AA+ verificado?; Proporções de uso definidas?; Combinações testadas?; Cores semânticas incluídas?","Design team, Development, Marketing",4-6
typography,"Famílias tipográficas; type scale; hierarquia; espaçamento; regras de uso; licenciamento; fallbacks web","PDF; fontes em OTF/WOFF2; Figma text styles; CSS/design tokens","Licenças válidas?; Hierarquia clara?; Fallbacks definidos?; Line-height e letter-spacing documentados?; Exemplos de aplicação incluídos?","Design team, Development",4-8
imagery_guidelines,"Estilo fotográfico; diretrizes de ilustração; ícones; padrões e texturas; tratamento de imagem; banco de imagens","PDF com moodboard; LUTs/presets; icon library; pattern files","Estilo visual coerente?; Diversidade representada?; Tratamento de cor definido?; Guidelines para terceiros claras?; Banco de referências atualizado?","Design team, Marketing, Fotógrafos",6-10
voice_and_tone,"Atributos de personalidade verbal; tom por canal; vocabulário; exemplos de copy; do/don't; templates de mensagem","PDF; Notion/Confluence page; exemplos em Google Docs","Personalidade verbal consistente com visual?; Tom adaptado por canal?; Exemplos práticos incluídos?; Do/don't claros?; Templates acionáveis?","Marketing, Copywriters, CS team",4-6
digital_guidelines,"Web design system; componentes UI; responsive rules; app guidelines; email templates; dark mode; acessibilidade","Figma design system; Storybook; CSS/tokens; HTML templates","Componentes consistentes?; Responsive testado?; WCAG AA mínimo?; Dark mode considerado?; Performance validada?; Tokens exportáveis?","Design team, Development, Product",10-20
print_specifications,"Papelaria; materiais de marketing; embalagem; sinalização; specs de impressão; acabamentos; fornecedores aprovados","PDF print-ready; AI/InDesign editáveis; especificações técnicas","Bleeds e margins corretos?; Cores em CMYK?; Resolução mínima 300dpi?; Acabamentos especificados?; Fornecedores listados?","Design team, Marketing, Procurement",6-10
social_media,"Templates por plataforma; grid de conteúdo; specs de formato; hashtags; tom por rede; calendário editorial base","Figma/Canva templates; guia PDF por plataforma; exemplos de posts","Templates para todas as plataformas?; Safe zones respeitadas?; Formatos atualizados?; Tom adaptado por rede?; Exemplos de boas práticas?","Marketing, Social Media Manager",4-8
applications_showcase,"Mockups realistas de todas as aplicações; ambientação; contextualização de uso real; catálogo de materiais","PDF lookbook; mockups em PSD/Figma; fotos de aplicações reais","Mockups realistas?; Todas as aplicações representadas?; Contexto de uso claro?; Fotos de produção quando possível?; Inspire confiança no sistema?","CMO, Brand Manager, Stakeholders externos",6-10
governance_updates,"Versionamento do manual; processo de atualização; responsáveis; changelog; treinamento de equipe; compliance","PDF; changelog versionado; processo documentado em wiki","Processo de update definido?; Responsáveis nomeados?; Changelog mantido?; Treinamento previsto?; Compliance legal verificado?","Brand Manager, Legal, HR",2-4
